lncRNAName	H3K27ac-wa	H3K27ac-ea	H3K27ac-wr	H3K27ac-er	H3K36me3-wa	H3K36me3-ea	H3K36me3-wr	H3K36me3-er	H3K4me1-wa	H3K4me1-ea	H3K4me1-wr	H3K4me1-er	H3K4me2-wa	H3K4me2-ea	H3K4me2-wr	H3K4me2-er	H3K4me3-wa	H3K4me3-ea	H3K4me3-wr	H3K4me3-er	H3K79me2-wa	H3K79me2-ea	H3K79me2-wr	H3K79me2-er	H3K9ac-wa	H3K9ac-ea	H3K9ac-wr	H3K9ac-er	H3K9me3-wa	H3K9me3-ea	H3K9me3-wr	H3K9me3-er	H4K20me1-wa	H4K20me1-ea	H4K20me1-wr	H4K20me1-er	H3K27me3-wa	H3K27me3-ea	H3K27me3-wr	H3K27me3-er	Methylation-wa	Methylation-ea	Methylation-wr	Methylation-er
RP11-221N13.3_ASO_G0256268_AD_07	1.2372502947333899	1.9440087256920888	-0.0	0.08747527712845546	0.0	0.0	0.0	0.0	2.2396026070741115	-0.0	0.8187087815906515	-0.0	1.526858596961824	0.886992337978947	1.534098494458892	-0.0	2.6619689289666004	4.342417659312126	2.031097124135749	6.043121977342727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09321867836821625	1.842609610905219	1.202541078812282	-0.0	0.0	0.0	0.0	0.0
RP11-38L15.3_ASO_G0231187_02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.226475029837937	1.4835848076272375	0.11447375741385786	0.1497925824560227
RP11-395B7.4_ASO_G0227053_03	8.859820991167322	6.943515968777179	-0.0	0.16916006621495283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.312764457432461	8.837457877270124	0.42926382871611	0.22350866694229787	0.0	0.0	0.0	0.0	26.887580061154964	50.19238624092761	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	2.9661695251604803	-0.0	-0.0	0.0	0.0	0.0	0.0
RP11-395B7.4_ASO_G0227053_04	3.115738507881656	2.4749069074916825	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.598520196113144	0.6853666949996089	-0.0	0.4209978093484735	0.0	0.0	0.0	0.0	6.683549423747515	19.666387345351115	-0.0	0.9931634602496008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-398K22.12_ASO_G0229852_03	4.194534561724779	1.148838778638569	0.08766566586167415	0.5230619274069787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-398K22.12_ASO_G0229852_05	4.408601127591231	-0.0	-0.0	0.7262117916052124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-417E7.1_ASO_G0223485_01	44.529250353081515	61.51127117942816	14.682326136650682	6.384841624979537	2.3580691626177175	-0.0	-0.0	-0.0	56.36187965507894	2.376892376431844	12.065346119096846	-0.0	0.0	0.0	0.0	0.0	38.954245246475026	2.4887803805456676	5.309773630938983	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-417E7.1_ASO_G0223485_AD_04	5.130217905081072	20.72583064918981	-0.0	0.6180411486467497	0.0	0.0	0.0	0.0	5.914060570987371	4.614419341752726	-0.0	-0.0	0.0	0.0	0.0	0.0	14.682907462261447	1.991745327747562	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-458D21.1_ASO_G0233396_07	9.336641191636602	0.1645816910265472	0.4700587455978902	28.08252665393002	0.8625596894114069	2.419648162131532	-0.0	-0.0	3.384603357471437	184.67984877229014	-0.0	0.40762423502295053	0.0	0.0	0.0	0.0	124.4392112313282	106.27022306561194	9.049743924173184	36.054534912537946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.25125860581684	14.90244231869591	27.26049610467589	-0.0	0.0	0.0	0.0	0.0
RP11-539L10.3_ASO_G0251580_AD_05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6449562625926619	4.0628083170548175	0.8223302998236	-0.0	-0.0	3.6640480878612753	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-545E17.3_ASO_G0223478_03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8140638957028538	5.126778976108662	0.08319373781240712	0.6167759271468424	1.5037395045198805	4.858044543025651	9.738527797779994	1.6376355155227533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-54A9.1_ASO_G0257219_09	0.0	0.0	0.0	0.0	1.8059497587733757	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5749401406770211	-0.0	-0.0	-0.0	1.8418931899445166	0.40014223234617907	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-54A9.1_ASO_G0257219_AD_05	1.7907668672386983	1.1238171601865568	0.08766566586167415	0.21204807398302522	2.6021719472751803	-0.0	-0.0	-0.0	2.168077260497019	0.2031975274663844	0.0557628741996295	-0.0	0.0	0.0	0.0	0.0	1.8167892588977184	0.051710560992070775	2.1520276342737845	-0.0	1.9499643274056946	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-65J3.1_ASO_G0233901_04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6740377827974553	0.20239806281173348	0.14194004739046223	0.1497925824560227
RP11-65J3.1_ASO_G0233901_05	-0.0	1.463846074843381	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9785180124347086	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	9.257255274569792	1.04016451337511	-0.0	-0.0
RP11-660L16.2_ASO_G0254682_02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23030013217478604	4.048656537903936	0.8223302998236	-0.0	0.7560209778394344	12.188755778225547	0.14081510121965826	0.2652284777394843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
